evaluation_index,stage,sequential_iteration,h_in,l_in,t_in,b_in,objective_f1_fabrication_cost,objective_f2_end_deflection,feasible,final_pareto,is_evaluation_150,plot_class
16,initial,0,1.5076184623543916,4.4245622587534843,2.4648110393822362,1.4899832941848403,14.018768340241998,0.098387925508191656,0,0,0,violating
17,initial,0,3.8594099978091889,3.1511267515726842,9.1935378528267826,3.5978397680031855,88.759401482942152,0.00078520719509829202,0,0,0,violating
18,initial,0,1.7305773961580468,8.7271569894540963,7.0466628599463821,3.4430600591865681,53.440438414959111,0.0018221285574981101,1,0,0,feasible_dominated
19,initial,0,3.7115113060101352,2.4748119533821789,7.8708204846579495,4.657925069387856,76.23664099451247,0.0009665438779863061,1,0,0,feasible_dominated
20,initial,0,4.9008689327347952,0.46009340160383305,5.6862713280157973,2.2971091764296099,24.578978099891927,0.0051976821864565823,0,0,0,violating
21,sequential,1,1.8500489306012931,6.6425178478663103,2.4647132542044101,4.5166904791561464,33.933949981231194,0.032460451949028538,1,0,0,feasible_dominated
22,sequential,2,0.91028169641661605,8.287172501650355,4.2989811491524943,1.5105463154499299,13.302802081433907,0.018291251695635349,1,0,0,feasible_dominated
23,sequential,3,0.98025258404515803,6.3046918831761429,5.0430625285801298,3.6144119306711016,23.39202260137192,0.0047353642159578789,1,0,0,feasible_dominated
24,sequential,4,0.29399345819911282,6.4490237086257673,8.1407469645963175,3.079821764357245,27.322298781994157,0.0013211609920282413,1,0,0,feasible_dominated
25,sequential,5,0.21368031826321554,7.8373887559922144,7.0055603705892908,2.0552158539146896,14.945553009946495,0.0031066191334644805,1,0,0,feasible_dominated
26,sequential,6,1.9535565740611291,3.087621926339172,4.996776224802991,3.2935179106840216,28.058005226528067,0.0053424979361533084,1,0,0,feasible_dominated
27,sequential,7,1.230949965139789,7.5045531602903841,9.742322085040902,4.9999999985239807,68.202360928280058,0.00047480648232444512,1,0,0,feasible_dominated
28,sequential,8,0.20446106315661389,9.9999999411908043,0.63683986212321209,2.8196593527070131,1.7262895744749884,3.0143017893608097,0,0,0,violating
29,sequential,9,1.1141772406958617,8.4444865480901949,3.6382551208126626,4.1066210268402088,24.259099975589457,0.011099668786723808,1,0,0,feasible_dominated
30,sequential,10,0.12520720531870075,6.9253504664214942,5.8048593179510801,1.6192049878690156,9.0756587219186393,0.0069310201925929186,0,0,0,violating
31,sequential,11,0.53967493525477905,9.2078768924941414,5.2346862798789582,4.550510821202681,25.005624140441725,0.0033631169148439083,1,0,0,feasible_dominated
32,sequential,12,3.022385190827972,1.4061742039203968,8.0724169279598481,4.9999999498956607,57.050809488204763,0.00083462875028388311,1,0,0,feasible_dominated
33,sequential,13,0.87017913764806099,6.4067597586384446,9.0070975849872603,0.8664223964714628,13.997221272282243,0.0034672872290780719,0,0,0,violating
34,sequential,14,2.3491209071983921,9.999999901764518,4.0832970327505569,2.971032749453538,71.516321385843341,0.010852598485215812,1,0,0,feasible_dominated
35,sequential,15,1.1943835514182854,3.1953240969999306,4.6188127614260788,4.9999999381767388,25.722127779221513,0.0044556700577529119,1,0,0,feasible_dominated
36,sequential,16,1.7112271144803548,1.6999793138711181,3.7891682672919802,3.7359431883054572,17.614625074706147,0.010800457587289296,1,0,0,feasible_dominated
37,sequential,17,1.4801836694384771,9.9999856305913486,4.8884283849156311,0.53331681022711508,26.572651962657105,0.035235549565500159,0,0,0,violating
38,sequential,18,0.73555607097702325,6.6197389509684168,2.6721937723117897,4.4086457354301913,13.405922183071157,0.026095465584422158,1,0,0,feasible_dominated
39,sequential,19,2.2048385557962984,0.78359195330376419,5.6669970686649025,3.6553283010499764,23.808007879834726,0.0032998085318738522,1,0,0,feasible_dominated
40,sequential,20,3.2958245560819539,0.10004510401034325,5.07580939672863,4.9999987820567506,24.491817598168602,0.0033572855348435295,0,0,0,violating
41,sequential,21,0.76113916205787535,0.50962959777777173,4.5429342252740046,3.4790749846268709,14.425996001528066,0.006729781407724727,0,0,0,violating
42,sequential,22,2.3970871407189045,0.10023124077947895,7.363955872866307,3.7814713832510103,29.257515347778366,0.0014537165797413039,0,0,0,violating
43,sequential,23,0.44748928127603993,9.1558346292220634,6.4149745980066539,1.6439635201372615,12.383293795691344,0.0050582127831876079,1,0,0,feasible_dominated
44,sequential,24,0.49673173478477001,6.4901384014718779,7.1197502032625488,4.9999999326793541,37.939938778875323,0.0012164935918953189,1,0,0,feasible_dominated
45,sequential,25,2.0887883195067305,8.0036947217554406,7.4811631202292048,1.8888594211813337,53.180596482706676,0.0027756652264691829,0,0,0,violating
46,sequential,26,2.7043598474514758,4.9189127044835494,2.3184686563449577,3.5316457799779002,46.1699479547447,0.04987618982920286,1,0,0,feasible_dominated
47,sequential,27,0.51533456097332297,3.6922050342169932,2.9598631716378581,4.8610048303273512,12.822866405438974,0.017415387271277779,1,0,0,feasible_dominated
48,sequential,28,2.0380598930552858,4.3151341817960729,9.5409787174446095,4.9999999363200862,73.829000473769199,0.00050550483512021966,1,0,0,feasible_dominated
49,sequential,29,0.63680920704306365,3.9986800369997137,1.0045702397021041,4.9999999481073623,5.4172079573326997,0.43307505574025418,0,0,0,violating
50,sequential,30,3.749366466753377,0.82112888527471195,8.3223345635425119,4.9999999972294953,57.439835032291491,0.00076167302951554901,1,0,0,feasible_dominated
51,sequential,31,1.774957811745338,1.781944506576967,4.9444393027701565,2.947724800349647,19.485573422552136,0.0061607843749151231,1,0,0,feasible_dominated
52,sequential,32,1.1050089304141029,3.8023726214099467,3.8844426503121006,3.2201980109350488,15.89174209964446,0.011630687173403575,1,0,0,feasible_dominated
53,sequential,33,1.3434820952376409,9.6388747130225827,2.7997987132999795,4.2639858420266794,28.868329479494214,0.023457294005862869,1,0,0,feasible_dominated
54,sequential,34,2.2322660049090448,2.6657660719045499,7.3587522296732386,4.5706785156111325,49.236241984849158,0.0012052603707217811,1,0,0,feasible_dominated
55,sequential,35,1.3151033984788516,1.2475065603923128,3.8064436012680978,3.981735216243135,15.367351629663867,0.0099963975549741992,0,0,0,violating
56,sequential,36,0.16080064454102133,3.5221722016114114,2.8170253655561885,4.9999999711843843,11.496420959889939,0.019639562975608062,0,0,0,violating
57,sequential,37,4.4336187011228754,0.78366636062295014,8.3408448572534475,4.9999999759694589,61.841968768269183,0.00075661328410599725,1,0,0,feasible_dominated
58,sequential,38,0.12501006222361657,9.8419420706466436,6.9100065688335413,4.9999999796548122,34.926566309107066,0.0013306649290388156,1,0,0,feasible_dominated
59,sequential,39,2.3735135886907597,0.10007007380662065,3.3268514534051339,3.2295252814720259,9.5790504071361422,0.018460147902465557,0,0,0,violating
60,sequential,40,1.013001134700189,5.0728871667273836,7.9680832780615054,4.9999999550999021,47.857452592391894,0.00086784566858695892,1,0,0,feasible_dominated
61,sequential,41,0.69308675451644963,4.6701335089150406,8.5242011588447006,3.0057271041665596,30.242674499758785,0.0011791348537880009,1,0,0,feasible_dominated
62,sequential,42,0.32104089459151347,5.8468251648123317,4.6317996116093756,4.6759301780358635,20.079399492546809,0.0047245101954849541,1,0,0,feasible_dominated
63,sequential,43,1.249067428948138,7.2027224763259072,3.4719742747127023,4.9999999673403375,27.006445719882919,0.010489978463842845,1,0,0,feasible_dominated
64,sequential,44,0.53582078706867453,4.0123626381034265,6.5917307180541211,2.016555298657881,14.441132535786142,0.0038007174578133262,1,0,0,feasible_dominated
65,sequential,45,0.92420218330297044,4.684703257955956,6.4073085067362383,0.30985933882069161,6.3696503514553502,0.02693286771013834,0,0,0,violating
66,sequential,46,2.4390798730660563,1.596734923682239,5.4664747030377283,2.9490029235599957,25.59131503627307,0.0045569772756706714,1,0,0,feasible_dominated
67,sequential,47,0.27019304298557434,4.5541423642566974,8.4038839614582361,2.0626136048269199,19.050714477706389,0.0017931477457360037,1,1,0,feasible_pareto
68,sequential,48,4.0996292282974647,0.39444837025138979,9.9999999443361052,4.9999999549808907,65.055649562185494,0.000439040011284641,1,1,0,feasible_pareto
69,sequential,49,0.12500968427622761,9.9999999910843869,8.4458140288815873,1.8231182111134512,16.800141677168529,0.0019986406757756471,1,1,0,feasible_pareto
70,sequential,50,1.1251861467619921,4.8883794093211774,1.4830241294064694,4.0583650398509983,11.320167123416905,0.16583581679741011,0,0,0,violating
71,sequential,51,1.9264679455105427,8.2545651473432304,5.1480243182842917,2.0156681212326326,43.401924900772656,0.0079823965235977061,1,0,0,feasible_dominated
72,sequential,52,3.3220765086119424,4.7100568084598846,0.98870328232120108,4.2912990935561277,60.483559272793087,0.52928231283887661,0,0,0,violating
73,sequential,53,1.1892728948659279,4.2090780327030917,7.3821535405313874,1.3122640673987807,16.541869540377121,0.0041581833544963708,1,0,0,feasible_dominated
74,sequential,54,2.0700022768122102,6.4462390008057362,2.2029128063066192,4.9999999975437781,39.099899251210232,0.041068814535018601,1,0,0,feasible_dominated
75,sequential,55,0.48358214360688412,4.4450112452269943,6.4615245006424482,4.9999999320747843,32.952067221243368,0.0016274179781634135,1,0,0,feasible_dominated
76,sequential,56,0.85624587434629074,5.5800436408193406,8.7244648303611658,1.9651274520239432,23.263260455266824,0.0016821587639766356,1,0,0,feasible_dominated
77,sequential,57,0.82353128972144163,2.4890706506624549,6.4576358358512485,2.5342645784999207,17.971918815985244,0.0032166328262538857,1,0,0,feasible_dominated
78,sequential,58,0.49381600410168647,7.4481271647040854,2.2727505170773536,4.7502578280870562,10.458550280879418,0.039364216885585217,1,0,0,feasible_dominated
79,sequential,59,0.35246511069530884,9.7066655134360609,3.907023518083736,3.8351027166483194,14.240820859348966,0.0095975198149278202,1,0,0,feasible_dominated
80,sequential,60,0.42943908917510876,2.728590747487285,5.6857614095135007,2.7199913390060617,15.202724139550627,0.0043907698997126873,0,0,0,violating
81,sequential,61,1.5236244112313038,5.1146091274806658,8.0518278432404209,1.5567532031299849,26.414699173426165,0.0027012879678618902,1,0,0,feasible_dominated
82,sequential,62,0.48500749858043135,9.9813456361549591,5.9157004172109362,1.4019298201551451,10.540058146324817,0.0075636130649869692,1,1,0,feasible_pareto
83,sequential,63,0.93968952592209465,4.7721428659250966,8.0862092248631825,1.1805476368910897,14.798550362063548,0.0035168646566784444,1,0,0,feasible_dominated
84,sequential,64,0.2146718072666105,1.3536589258880354,9.9999999938808966,1.2253696793376931,14.217522469601303,0.0017914593783781988,0,0,0,violating
85,sequential,65,2.2244246664351084,1.5472405122236288,5.9689725284816815,2.3512984865885871,21.940859515506823,0.0043900310241084539,1,0,0,feasible_dominated
86,sequential,66,0.12507390231380244,9.9999964018366789,2.9340102983928018,4.0127897052269823,9.764683422783401,0.021659218959494925,1,0,0,feasible_dominated
87,sequential,67,2.2191081436169591,4.1348257216058366,7.1030367582804264,1.6152946806894695,34.142443768170061,0.0037921904889685319,0,0,0,violating
88,sequential,68,0.13796290505747286,5.3670268882008862,7.2333771760431755,2.4585358475938186,18.279385832217763,0.0023592513626395184,0,0,0,violating
89,sequential,69,1.6058794528939353,0.4659790841306678,6.5549980731096591,2.3242033259067956,16.393571290039159,0.0033533761454714092,0,0,0,violating
90,sequential,70,0.97102283100896358,9.9999999452868167,7.0330787745290326,1.5877422962235326,21.715764990216279,0.0039742724343072872,1,0,0,feasible_dominated
91,sequential,71,0.16964903885587684,8.7169357801726353,2.5676051357432068,3.7839962272497569,8.0213047812326526,0.034271940267690669,1,0,0,feasible_dominated
92,sequential,72,2.1567364642734956,6.6095024381696943,7.3980572894867311,4.9999999480603945,72.043443995203262,0.0010843039101035667,1,0,0,feasible_dominated
93,sequential,73,0.23038500774812037,7.9950760469821383,8.4575088253149442,1.7319187292810316,16.294635921871375,0.0020951697074881254,1,1,0,feasible_pareto
94,sequential,74,4.9864071841147615,0.10002008655782268,9.9999996197090155,0.12502522503483574,4.1909222054784099,0.017558058782400125,0,0,0,violating
95,sequential,75,0.81720692470662848,9.986740374156124,3.3425295567267184,2.4158672160454495,14.105229748008194,0.024331857531462851,1,0,0,feasible_dominated
96,sequential,76,2.0719667892836835,6.2765758259226105,3.3103631246194598,4.9999999578985257,43.551486055210916,0.012102558389879314,1,0,0,feasible_dominated
97,sequential,77,0.41612032449133451,3.9234484810377555,9.9997300398458737,2.0707800163882695,24.659645839314784,0.0010601694903293254,1,1,0,feasible_pareto
98,sequential,78,3.1988884279924878,3.5225348065557767,6.3726942102762605,4.1960129464326563,66.028640587150164,0.002021473421784306,1,0,0,feasible_dominated
99,sequential,79,0.58383744346112798,9.951754963586648,2.9696444304460092,2.228939202509757,9.1513586786442858,0.037606465236831879,1,0,0,feasible_dominated
100,sequential,80,1.3893216893322373,9.9999998035422433,9.0432892748445965,3.0671919080436001,52.073422399808337,0.00096772926500817888,1,0,0,feasible_dominated
101,sequential,81,0.59606887743407322,8.1419067126168656,9.999999592480517,3.347551894833201,41.84788051748852,0.00065576287906522009,1,1,0,feasible_pareto
102,sequential,82,2.9019209973443538,1.5454457188063029,5.553264676910862,2.3809628006576369,26.815308586413742,0.0053836443799118883,0,0,0,violating
103,sequential,83,0.12500028958802822,9.9999995775218196,7.4463711910073869,0.49242338281922216,3.955926919275262,0.010796957268887769,1,1,0,feasible_pareto
104,sequential,84,0.43262040950832559,6.6747932898975186,9.4624813847166021,2.0342715022090871,23.108241859798049,0.0012736498959325963,1,0,0,feasible_dominated
105,sequential,85,0.1251419246315561,9.0019150446155614,9.9999988298438431,1.9365453419045484,22.51585937147615,0.001133565387350698,1,1,0,feasible_pareto
106,sequential,86,0.12500137293397229,9.9999994217340991,9.860029858898077,2.3560148960177498,26.838904963702536,0.00097198904854588783,1,1,0,feasible_pareto
107,sequential,87,0.12504525902991664,7.7527390074248368,8.0039028783788577,4.9999991263739307,42.498879061691554,0.00085624635383112614,0,0,0,violating
108,sequential,88,0.12914462003375671,9.9999996198508718,2.7869456629766911,2.0961738786807587,4.9023005572513609,0.048379489923427436,0,0,0,violating
109,sequential,89,0.47648577838116041,9.9878321718317054,4.4008832557618973,1.8919063312561386,9.8758483151282181,0.013613033695160247,1,0,0,feasible_dominated
110,sequential,90,0.78742584082754652,9.9999999244899698,7.0907199880102247,1.0750629929888911,14.584472039455845,0.0057275537738013405,1,0,0,feasible_dominated
111,sequential,91,0.12502047527428176,9.1112139347243488,9.386420757226535,1.2273205777468073,13.118877321467863,0.0021627983221544403,1,1,0,feasible_pareto
112,sequential,92,2.3154830487406994,7.5982512537304983,1.3465777545655786,4.4932816321061564,49.470649213956868,0.20008574409046903,0,0,0,violating
113,sequential,93,0.12501275291008554,9.9999990524563724,5.5809948219196004,3.9363934069066007,20.868351121336087,0.0032080471271112173,1,0,0,feasible_dominated
114,sequential,94,0.12504239834439584,9.9999983743353411,8.0055668563336937,2.6738703880344632,22.834838775322158,0.0016001381368367408,1,0,0,feasible_dominated
115,sequential,95,2.3519808219601712,5.9039897549289071,5.4681885105489298,2.8850925749645007,50.8558232580233,0.0046535448812658614,1,0,0,feasible_dominated
116,sequential,96,0.48543551230315629,3.6043801304816507,7.2948639341647388,2.5750900133685883,20.183385664217003,0.00219598865576031,1,0,0,feasible_dominated
117,sequential,97,2.4963101128783318,7.7797921299802466,5.9714636671011672,2.8891968666661172,70.133538230820903,0.0035682442627475528,1,0,0,feasible_dominated
118,sequential,98,4.4265516512593859,0.10021688337174356,9.2408325893981456,4.4854090712960533,48.514016349084727,0.0006202099503940055,0,0,0,violating
119,sequential,99,0.39859956599627011,9.999999668151343,9.9999999116047693,2.841744783507099,34.567102577304993,0.00077248318390661002,1,1,0,feasible_pareto
120,sequential,100,4.8095938763892239,3.8573696543614271,6.6151590757933745,4.9999999810671536,131.37705128389985,0.0015166424753270903,1,0,0,feasible_dominated
121,sequential,101,2.0073551313448079,1.4710966793285498,4.6805689815963385,2.6470396281393529,17.683295695044279,0.0080875634401928291,1,0,0,feasible_dominated
122,sequential,102,0.12628811335509016,8.7461621968597498,7.2094621939974388,0.4889021713900516,3.750676806246199,0.011982391954285415,1,1,0,feasible_pareto
123,sequential,103,0.15834108440409242,8.485151258610534,1.510955963842707,4.937955576406825,5.8026773196546868,0.12887583551729656,0,0,0,violating
124,sequential,104,2.1690745638249593,6.6638429253648797,6.1612895007344957,2.5447685868372734,49.843594405631379,0.0036881701830045383,1,0,0,feasible_dominated
125,sequential,105,0.88918561338362856,6.5376570892426704,6.9556357529739969,1.1040024696934578,13.45207211670879,0.0059087219775934303,1,0,0,feasible_dominated
126,sequential,106,1.7547051468184582,7.5472476898485237,4.0772455582564406,4.9999999978807761,43.400968503783602,0.0064774412855829024,1,0,0,feasible_dominated
127,sequential,107,4.7975955065938498,1.7519333229757226,6.5779756080952314,4.9415762638749419,76.727172422323662,0.0015607445085766792,1,0,0,feasible_dominated
128,sequential,108,1.379417749903896,3.0317276658519119,2.7534440225557577,4.9999999918877132,17.469289285863944,0.021031746343662245,1,0,0,feasible_dominated
129,sequential,109,2.0163597306811498,2.8625209903832389,9.9999994668664183,4.9999997894639767,70.588796407884587,0.00043904008870684864,1,0,0,feasible_dominated
130,sequential,110,1.3655208022434226,7.7837238095615264,4.4251361160061595,1.3207081212399832,21.214241791928035,0.019181711005878076,0,0,0,violating
131,sequential,111,0.12500028277642239,9.9999999740024634,5.3328855284176004,4.1629548983359514,20.821468100126701,0.0034768471906348876,1,0,0,feasible_dominated
132,sequential,112,0.96112707301472178,7.2360809680526135,1.9044793614190139,4.9845382923655466,14.648036468472968,0.063755894811436842,1,0,0,feasible_dominated
133,sequential,113,2.9246893791219017,4.3800110478766578,4.1625233702152524,4.9824453597545419,59.511008403368876,0.0061088786030364765,1,0,0,feasible_dominated
134,sequential,114,1.4040932658518783,8.7328197956212996,2.627449057714482,4.9999999271249678,29.528401560121114,0.024204782395559527,1,0,0,feasible_dominated
135,sequential,115,2.5393134933260089,6.6891389287573491,2.5834884309359092,3.4425194238061461,54.744391844511753,0.036980955782022776,1,0,0,feasible_dominated
136,sequential,116,1.8321490929669868,4.2270290634359009,8.3723334968854743,2.4958698390411391,38.166240866790972,0.001498692738495087,1,0,0,feasible_dominated
137,sequential,117,0.12500370903647265,9.0348485265456446,9.9983935680462164,0.9097293431532848,10.657669122824098,0.0024141886686923648,1,1,0,feasible_pareto
138,sequential,118,4.4002892460523189,3.1058727325284892,5.3218821827441367,4.6221813687825026,89.300969630530176,0.0031508762303708191,1,0,0,feasible_dominated
139,sequential,119,3.37096579835646,3.95189029651229,3.7660441578021073,4.9999999791002177,65.703807030241293,0.0082195467087120937,1,0,0,feasible_dominated
140,sequential,120,1.7257642182792527,9.9999978648103127,7.4199602733008536,4.9999988626093144,71.133019350656525,0.0010747301889872337,1,0,0,feasible_dominated
141,sequential,121,0.70479015231275832,3.3141335810987878,6.4480302325308854,1.4151316350548795,10.795179771831785,0.0057862348834920845,1,0,0,feasible_dominated
142,sequential,122,0.47801874084553103,3.7137699962990172,9.9999998955727492,3.177799068284167,37.629599460155404,0.00069079259625968005,1,1,0,feasible_pareto
143,sequential,123,2.9083910105761368,0.10018846755374806,9.7126149849548611,4.9999994343484238,56.337631371320278,0.00047917661894050171,0,0,0,violating
144,sequential,124,0.42937791038779144,9.9999970522028345,8.9986233142084746,0.1250003334115235,3.2812869503517863,0.024100980161687241,0,0,0,violating
145,sequential,125,1.1646164991218677,6.0508050263669766,8.6795187453674494,1.7154307846792836,25.31192760900224,0.0019571042413646287,1,0,0,feasible_dominated
146,sequential,126,0.15861698895802767,9.999999991466952,8.5022674350148879,4.247445233538107,39.373205250171665,0.00084089548778847403,1,0,0,feasible_dominated
147,sequential,127,1.7077038511014431,3.3965930834007843,2.5671518340125599,3.2500814312493778,17.592621969075058,0.039923185287608624,1,0,0,feasible_dominated
148,sequential,128,1.1590152024740656,2.6422780946001501,9.9999999857122237,2.7527967484679898,35.70596663849161,0.00079744354923081404,1,0,0,feasible_dominated
149,sequential,129,1.3872795151587545,9.9999999660702414,2.1903034479807117,3.8988353550357644,27.912287082134796,0.053582915202969629,1,0,0,feasible_dominated
150,sequential,130,0.12504180723828001,2.1652865713498683,8.1319159482652985,2.2654400412520381,19.652920080865158,0.001801950590226334,0,0,1,violating
